datetime,session_id,participant,minute_index,protocol_block,protocol_phase,expected_fan_mode
2024-04-16 07:21:00,P01_D01_DIM-MOR,P01,0,0,acclimation,fan_off
2024-04-16 07:22:00,P01_D01_DIM-MOR,P01,1,0,acclimation,fan_off
2024-04-16 07:23:00,P01_D01_DIM-MOR,P01,2,0,acclimation,fan_off
2024-04-16 07:24:00,P01_D01_DIM-MOR,P01,3,0,acclimation,fan_off
2024-04-16 07:25:00,P01_D01_DIM-MOR,P01,4,0,acclimation,fan_off
2024-04-16 07:26:00,P01_D01_DIM-MOR,P01,5,0,acclimation,fan_off
2024-04-16 07:27:00,P01_D01_DIM-MOR,P01,6,0,acclimation,fan_off
2024-04-16 07:28:00,P01_D01_DIM-MOR,P01,7,0,acclimation,fan_off
2024-04-16 07:29:00,P01_D01_DIM-MOR,P01,8,0,acclimation,fan_off
2024-04-16 07:30:00,P01_D01_DIM-MOR,P01,9,0,acclimation,fan_off
2024-04-16 07:31:00,P01_D01_DIM-MOR,P01,10,0,acclimation,fan_off
2024-04-16 07:32:00,P01_D01_DIM-MOR,P01,11,0,acclimation,fan_off
2024-04-16 07:33:00,P01_D01_DIM-MOR,P01,12,0,acclimation,fan_off
2024-04-16 07:34:00,P01_D01_DIM-MOR,P01,13,0,acclimation,fan_off
2024-04-16 07:35:00,P01_D01_DIM-MOR,P01,14,0,acclimation,fan_off
2024-04-16 07:36:00,P01_D01_DIM-MOR,P01,15,0,acclimation,fan_off
2024-04-16 07:37:00,P01_D01_DIM-MOR,P01,16,0,acclimation,fan_off
2024-04-16 07:38:00,P01_D01_DIM-MOR,P01,17,0,acclimation,fan_off
2024-04-16 07:39:00,P01_D01_DIM-MOR,P01,18,0,acclimation,fan_off
2024-04-16 07:40:00,P01_D01_DIM-MOR,P01,19,0,acclimation,fan_off
2024-04-16 07:41:00,P01_D01_DIM-MOR,P01,20,0,acclimation,fan_off
2024-04-16 07:42:00,P01_D01_DIM-MOR,P01,21,0,acclimation,fan_off
2024-04-16 07:43:00,P01_D01_DIM-MOR,P01,22,0,acclimation,fan_off
2024-04-16 07:44:00,P01_D01_DIM-MOR,P01,23,0,acclimation,fan_off
2024-04-16 07:45:00,P01_D01_DIM-MOR,P01,24,0,acclimation,fan_off
2024-04-16 07:46:00,P01_D01_DIM-MOR,P01,25,0,acclimation,fan_off
2024-04-16 07:47:00,P01_D01_DIM-MOR,P01,26,0,acclimation,fan_off
2024-04-16 07:48:00,P01_D01_DIM-MOR,P01,27,0,acclimation,fan_off
2024-04-16 07:49:00,P01_D01_DIM-MOR,P01,28,0,acclimation,fan_off
2024-04-16 07:50:00,P01_D01_DIM-MOR,P01,29,0,acclimation,fan_off
2024-04-16 07:51:00,P01_D01_DIM-MOR,P01,30,0,acclimation,fan_off
2024-04-16 07:52:00,P01_D01_DIM-MOR,P01,31,0,acclimation,fan_off
2024-04-16 07:53:00,P01_D01_DIM-MOR,P01,32,0,acclimation,fan_off
2024-04-16 07:54:00,P01_D01_DIM-MOR,P01,33,0,acclimation,fan_off
2024-04-16 07:55:00,P01_D01_DIM-MOR,P01,34,0,acclimation,fan_off
2024-04-16 07:56:00,P01_D01_DIM-MOR,P01,35,0,acclimation,fan_off
2024-04-16 07:57:00,P01_D01_DIM-MOR,P01,36,0,acclimation,fan_off
2024-04-16 07:58:00,P01_D01_DIM-MOR,P01,37,0,acclimation,fan_off
2024-04-16 07:59:00,P01_D01_DIM-MOR,P01,38,0,acclimation,fan_off
2024-04-16 08:00:00,P01_D01_DIM-MOR,P01,39,0,acclimation,fan_off
2024-04-16 08:01:00,P01_D01_DIM-MOR,P01,40,1,overall_comfort,fan_as_is
